Road_Name,Road_Type,Segment_Index,Start_Lat,Start_Lon,End_Lat,End_Lon,Length_Meters,Sinuosity_Index,Dist_to_Intersection_m,No_of_Lanes,Speed_Limit_kmh,Road_Surface,Has_Zebra_Crossing,Has_Streetlight_Infrastructure,Baseline_Traffic_Volume,Road_Condition,Start_Elevation_m,End_Elevation_m,Elevation_Gradient_Pct,Topography,Accident_Count,Is_Hotspot
Wellawaya-Ella-Kumbalwela Road 1,trunk,10,6.843197,81.068232,6.842269,81.067027,200,1.1899,1304.93,2,60,asphalt,0,0,High,Good,594,618,12,Uphill,0,0
Wellawaya-Ella-Kumbalwela Road 1,trunk,11,6.842269,81.067027,6.842147,81.065298,200,1.0443,1360.02,2,60,asphalt,0,0,High,Good,618,607,-5.5,Downhill,0,0
Wellawaya-Ella-Kumbalwela Road 1,trunk,12,6.842147,81.065298,6.842358,81.063724,200,1.1398,1491.31,2,60,asphalt,0,0,High,Good,607,641,17,Uphill,0,0
Wellawaya-Ella-Kumbalwela Road 1,trunk,13,6.842358,81.063724,6.84256,81.06213,200,1.1266,1638,2,60,asphalt,0,0,High,Good,641,604,-18.5,Downhill,0,0
Wellawaya-Ella-Kumbalwela Road 1,trunk,14,6.84256,81.06213,6.841388,81.060795,200,1.0187,1721.88,2,60,asphalt,0,0,High,Good,604,629,12.5,Uphill,0,0
Wellawaya-Ella-Kumbalwela Road 1,trunk,15,6.841388,81.060795,6.841809,81.059535,200,1.3625,1598.43,2,60,asphalt,0,0,High,Good,629,639,5,Uphill,0,0
Wellawaya-Ella-Kumbalwela Road 1,trunk,16,6.841809,81.059535,6.842178,81.058428,200,1.5512,1557.33,2,60,asphalt,0,0,High,Good,639,624,-7.5,Downhill,0,0
Wellawaya-Ella-Kumbalwela Road 1,trunk,17,6.842178,81.058428,6.841627,81.056905,200,1.1176,1473.5,2,60,asphalt,0,0,High,Good,624,646,11,Uphill,0,0
Wellawaya-Ella-Kumbalwela Road 1,trunk,18,6.841627,81.056905,6.841214,81.055272,194.84,1.0469,1348.58,2,60,asphalt,0,0,High,Good,646,637,-4.62,Downhill,0,0
Wellawaya-Ella-Kumbalwela Road 2,trunk,2,6.874666,81.044434,6.874154,81.042781,200,1.0461,188.93,2,60,asphalt,0,0,High,Good,1034,1040,3,Uphill,0,0
Wellawaya-Ella-Kumbalwela Road 2,trunk,3,6.874154,81.042781,6.875356,81.04151,200,1.0345,352.96,2,60,asphalt,0,0,High,Good,1040,1023,-8.5,Downhill,0,0
Wellawaya-Ella-Kumbalwela Road 2,trunk,4,6.875356,81.04151,6.876345,81.040088,200,1.0449,500.88,2,60,asphalt,0,0,High,Good,1023,1006,-8.5,Downhill,0,0
Wellawaya-Ella-Kumbalwela Road 2,trunk,5,6.876345,81.040088,6.876207,81.038557,200,1.1776,528.42,2,60,asphalt,0,0,High,Good,1006,1013,3.5,Uphill,0,0
Wellawaya-Ella-Kumbalwela Road 2,trunk,6,6.876207,81.038557,6.87778,81.038037,200,1.0921,410.64,2,60,asphalt,0,0,High,Good,1013,984,-14.5,Downhill,2,1
Wellawaya-Ella-Kumbalwela Road 2,trunk,7,6.87778,81.038037,6.876673,81.036709,200,1.0468,310.47,2,60,asphalt,0,0,High,Good,984,973,-5.5,Downhill,1,1
Wellawaya-Ella-Kumbalwela Road 2,trunk,8,6.876673,81.036709,6.875828,81.035998,200,1.6387,208.77,2,60,asphalt,0,0,High,Good,973,993,10,Uphill,0,0
Wellawaya-Ella-Kumbalwela Road 2,trunk,9,6.875828,81.035998,6.875177,81.034532,200,1.1285,172.54,2,60,asphalt,0,0,High,Good,993,981,-6,Downhill,1,1
Wellawaya-Ella-Kumbalwela Road 2,trunk,10,6.875177,81.034532,6.876286,81.03441,200,1.6216,130.37,2,60,asphalt,0,0,High,Good,981,973,-4,Downhill,0,0
Wellawaya-Ella-Kumbalwela Road 2,trunk,11,6.876286,81.03441,6.876609,81.033565,200,2.001,82.87,2,60,asphalt,0,0,High,Good,973,957,-8,Downhill,1,1
Wellawaya-Ella-Kumbalwela Road 2,trunk,12,6.876609,81.033565,6.875283,81.032494,200,1.0617,174.78,2,60,asphalt,0,0,High,Good,957,949,-4,Downhill,0,0
Wellawaya-Ella-Kumbalwela Road 2,trunk,13,6.875283,81.032494,6.873675,81.031915,200,1.0587,121.11,2,60,asphalt,0,0,High,Good,949,945,-2,Downhill,0,0
