Road_Name,Road_Type,Segment_Index,Start_Lat,Start_Lon,End_Lat,End_Lon,Length_Meters,Sinuosity_Index,Dist_to_Intersection_m,No_of_Lanes,Speed_Limit_kmh,Road_Surface,Has_Zebra_Crossing,Has_Streetlight_Infrastructure,Baseline_Traffic_Volume,Road_Condition,Start_Elevation_m,End_Elevation_m,Elevation_Gradient_Pct,Topography,Accident_Count,Is_Hotspot
Demodera-Spring Valley-Badulla Road 3,primary,2,6.90613,81.069524,6.905894,81.070258,200,2.3479,62.89,2,60,asphalt,0,0,High,Good,878,894,8,Uphill,0,0
Demodera-Spring Valley-Badulla Road 3,primary,3,6.905894,81.070258,6.907129,81.071506,200,1.0308,151.03,2,60,asphalt,0,0,High,Good,894,928,17,Uphill,0,0
Demodera-Spring Valley-Badulla Road 3,primary,4,6.907129,81.071506,6.906764,81.072758,200,1.3881,294.28,2,60,asphalt,0,0,High,Good,928,917,-5.5,Downhill,0,0
Demodera-Spring Valley-Badulla Road 3,primary,5,6.906764,81.072758,6.905518,81.073627,200,1.1912,407.43,2,60,asphalt,0,0,High,Good,917,912,-2.5,Downhill,0,0
Demodera-Spring Valley-Badulla Road 3,primary,6,6.905518,81.073627,6.906376,81.074623,200,1.3768,512.01,2,60,asphalt,0,0,High,Good,912,924,6,Uphill,0,0
Demodera-Spring Valley-Badulla Road 3,primary,7,6.906376,81.074623,6.906015,81.075399,200,2.115,607.58,2,60,asphalt,0,0,High,Good,924,934,5,Uphill,0,0
Demodera-Spring Valley-Badulla Road 3,primary,8,6.906015,81.075399,6.905715,81.076725,200,1.3316,590.79,2,60,asphalt,0,0,High,Good,934,939,2.5,Uphill,0,0
Demodera-Spring Valley-Badulla Road 3,primary,9,6.905715,81.076725,6.904213,81.076861,200,1.1996,463.12,2,60,asphalt,0,0,High,Good,939,937,-1,Flat,0,0
Demodera-Spring Valley-Badulla Road 3,primary,10,6.904213,81.076861,6.903611,81.077735,200,1.7055,335.62,2,60,asphalt,0,0,High,Good,937,949,6,Uphill,0,0
Demodera-Spring Valley-Badulla Road 3,primary,11,6.903611,81.077735,6.902048,81.077869,200,1.1533,207.52,2,60,asphalt,0,0,High,Good,949,947,-1,Flat,0,0
Demodera-Spring Valley-Badulla Road 3,primary,12,6.902048,81.077869,6.901451,81.079077,171.47,1.1517,74.46,2,60,asphalt,0,0,High,Good,947,946,-0.58,Flat,0,0
Badulla-Bandarawela Road 5,trunk,1,6.888758,81.046225,6.888306,81.044685,200,1.1279,142.26,2,70,asphalt,0,0,High,Good,919,916,-1.5,Flat,2,1
Badulla-Bandarawela Road 5,trunk,2,6.888306,81.044685,6.887931,81.042957,200,1.0238,46.7,2,70,asphalt,0,0,High,Good,916,914,-1,Flat,1,1
Badulla-Bandarawela Road 5,trunk,3,6.887931,81.042957,6.887169,81.041316,200,1.0005,124.74,2,70,asphalt,0,0,High,Good,914,914,0,Flat,0,0
Badulla-Bandarawela Road 5,trunk,4,6.887169,81.041316,6.8867,81.039582,200,1.0078,222.53,2,70,asphalt,0,0,High,Good,914,927,6.5,Uphill,5,1
Badulla-Bandarawela Road 5,trunk,5,6.8867,81.039582,6.885647,81.038229,200,1.0557,36.04,2,70,asphalt,0,0,High,Good,927,926,-0.5,Flat,0,0
Badulla-Bandarawela Road 5,trunk,6,6.885647,81.038229,6.88421,81.037208,200,1.0265,168.37,2,70,asphalt,0,0,High,Good,926,935,4.5,Uphill,0,0
Badulla-Bandarawela Road 5,trunk,7,6.88421,81.037208,6.883554,81.036355,120.82,1.0161,172.58,2,70,asphalt,0,0,High,Good,935,934,-0.83,Flat,0,0
Waterfall Road,residential,1,6.872806,81.045824,6.872684,81.045819,14.46,1.0713,131.58,1,25,compacted,0,0,Low,Good,1037,1037,0,Flat,0,0
Demodera-Spring Valley-Badulla Road 4,primary,1,6.900627,81.063385,6.901718,81.062888,134.48,1.0148,203.74,2,60,asphalt,0,0,High,Good,890,895,3.72,Uphill,0,0
Demodera-Spring Valley-Badulla Road 4,primary,1,6.898006,81.059932,6.898754,81.061374,200,1.1143,125.46,2,60,asphalt,0,0,High,Good,866,858,-4,Downhill,0,0
Demodera-Spring Valley-Badulla Road 4,primary,2,6.898754,81.061374,6.898046,81.062457,200,1.3989,84.36,2,60,asphalt,0,0,High,Good,858,885,13.5,Uphill,0,0
Demodera-Spring Valley-Badulla Road 4,primary,3,6.898046,81.062457,6.899359,81.063264,200,1.1741,110.84,2,60,asphalt,0,0,High,Good,885,870,-7.5,Downhill,0,0
Demodera-Spring Valley-Badulla Road 4,primary,4,6.899359,81.063264,6.900594,81.063388,200,1.4576,260.27,2,60,asphalt,0,0,High,Good,870,890,10,Uphill,0,0
Demodera-Spring Valley-Badulla Road 4,primary,5,6.900594,81.063388,6.900627,81.063385,3.66,1,266.77,2,60,asphalt,0,0,High,Good,890,890,0,Flat,0,0
Ella-Passara Road,primary,1,6.873347,81.054373,6.873566,81.052817,200,1.152,72.49,2,60,asphalt,0,0,High,Good,1041,1039,-1,Flat,0,0
Ella-Passara Road,primary,2,6.873566,81.052817,6.872815,81.051245,200,1.039,81.87,2,60,asphalt,0,0,High,Good,1039,1014,-12.5,Downhill,0,0
Ella-Passara Road,primary,3,6.872815,81.051245,6.87296,81.049457,200,1.0091,80.49,2,60,asphalt,0,0,High,Good,1014,1003,-5.5,Downhill,0,0
Wellawaya-Ella-Kumbalwela Road,trunk,1,6.874406,81.048338,6.874197,81.04665,200,1.0643,77.64,2,60,asphalt,0,0,High,Good,1006,1024,9,Uphill,0,0
Demodera-Spring Valley-Badulla Road,primary,1,6.901718,81.062888,6.90337,81.063338,200,1.0567,52.61,2,60,asphalt,0,0,High,Good,895,866,-14.5,Downhill,0,0
Demodera-Spring Valley-Badulla Road,primary,2,6.90337,81.063338,6.903867,81.063781,74.65,1.0146,78.71,2,60,asphalt,0,0,High,Good,866,866,0,Flat,0,0
